Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
935110,Bank account or service,Checking account,"Account opening, closing, or management",,PR,983,Postal mail,7/14/2014,7/23/2014,Banco Popular de Puerto Rico,Closed with explanation,Yes,No
935141,Bank account or service,Cashing a check without an account,Problems caused by my funds being low,,MA,1432,Web,7/14/2014,7/14/2014,RBS Citizens,Closed with explanation,Yes,No
935153,Bank account or service,Checking account,"Account opening, closing, or management",,MO,63112,Phone,7/14/2014,7/17/2014,U.S. Bancorp,Closed with explanation,Yes,Yes
935171,Bank account or service,Checking account,"Account opening, closing, or management",,NY,10075,Web,7/14/2014,7/17/2014,Wells Fargo,Closed with monetary relief,Yes,No
935173,Bank account or service,Checking account,"Account opening, closing, or management",,DE,19801,Phone,7/14/2014,7/17/2014,M&T Bank,Closed with explanation,Yes,No
935192,Bank account or service,Checking account,Deposits and withdrawals,,VA,23234,Phone,7/14/2014,7/17/2014,Wells Fargo,Closed with explanation,Yes,No
935199,Bank account or service,Checking account,"Account opening, closing, or management",,NJ,7036,Phone,7/14/2014,7/17/2014,TD Bank,Closed with monetary relief,Yes,No
935225,Bank account or service,Checking account,"Account opening, closing, or management",,TN,37229,Postal mail,7/14/2014,7/17/2014,Ally Financial Inc.,Closed with non-monetary relief,Yes,No
935242,Bank account or service,Checking account,Deposits and withdrawals,,NY,10467,Phone,7/14/2014,7/17/2014,Santander Bank US,Closed,Yes,No
935247,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,Referral,7/14/2014,8/1/2014,Wells Fargo,Closed with explanation,Yes,No
